ID,Name,Department,Year of Study,Bio Description,Interests,Skills (Top 5),Latest Achievement,Availability,Clubs
22219164,Christina Roach,Computer Science,4,Motivated Problem solver Creative Passionate Team player,"Machine Learning, Blockchain","React, C++, Java, Django, FLutter",Completed AI Project,Yes,I2IC
22214251,Christian Fisher,Mechanical,1,Problem solver Hardworking Analytical Hardworking Passionate,"Art, Sports, Deep Learning","HTML, Java, Keras, FLutter, JavaScript",Published Research Paper,No,GFG
22211229,Paul Miller,Computer Science,4,Passionate Motivated Creative Hardworking Hardworking,"Machine Learning, Sports, Web Development","Python, CSS, React, Java, Keras",Interned at XYZ,Yes,I2IC
22213574,Joseph Smith,AI ML,2,Creative Creative Passionate Motivated Innovative,"Art, AI, Blockchain","TensorFlow, Django, CSS, SQL, Java",Won Hackathon,Yes,Hackathon VIIT
22213661,Christopher Jones,Computer Science,4,Analytical Problem solver Problem solver Creative Team player,"AI, Art, Machine Learning","Keras, Java, Web Dev, CSS, TensorFlow",Won Hackathon,Yes,Robotics
22213740,Stephen Hernandez,Civil,4,Hardworking Passionate Hardworking Problem solver Motivated,"Music, Robotics, Sports, AI","HTML, TensorFlow, CSS, SQL, Keras",Published Research Paper,Yes,GDSC
22215167,John Ewing,CSE AI,1,Hardworking Motivated Hardworking Analytical Innovative,"Blockchain, Music, Web Development","SQL, React, Web Dev, Kotlin, App Dev",Won Hackathon,No,Cisco VIIT
22216049,Kim Hart,AI DS,1,Innovative Team player Motivated Hardworking Motivated,"Robotics, Sports, AI","FLutter, Flask, Python, Kotlin, JavaScript",Built Startup Prototype,Yes,I2IC
22212957,Daniel Sanders,CSE AI,1,Innovative Problem solver Creative Team player Creative,"Sports, Deep Learning, Art","Java, React, C++, Django, Flask",Published Research Paper,Yes,Cisco VIIT
22219555,Brittany Marsh,IT,4,Creative Passionate Team player Passionate Passionate,"Robotics, Deep Learning, Gaming","SQL, FLutter, HTML, Web Dev, Flask",Built Startup Prototype,Yes,Robotics
22213514,Stephanie Bishop,Electronics,1,Problem solver Passionate Team player Creative Team player,"Sports, Machine Learning, Deep Learning","App Dev, Web Dev, C++, FLutter, Java",Interned at XYZ,Yes,Researchers and Innovators
22217797,Erin Mcdowell,AI DS,1,Hardworking Innovative Motivated Hardworking Motivated,"Web Development, Blockchain, Music","Django, TensorFlow, CSS, Flask, C++",Won Hackathon,No,GFG
22216811,William Holland,Mechanical,3,Creative Hardworking Motivated Hardworking Passionate,"Blockchain, Deep Learning","React, C++, SQL, Web Dev, HTML",Won Hackathon,No,GDSC
22219327,Jasmine Gray,Civil,3,Team player Creative Creative Motivated Problem solver,"Sports, Deep Learning","JavaScript, Web Dev, C++, Python, TensorFlow",Won Hackathon,No,CyberCELL
22215905,Brittney Ellis,Mechanical,1,Motivated Innovative Creative Motivated Analytical,"Art, Robotics","Django, Keras, Java, CSS, React",Published Research Paper,No,CyberCELL
22219120,Johnny Romero,Electronics,3,Creative Hardworking Problem solver Team player Team player,"Art, Deep Learning, Music, Sports","C++, Python, Web Dev, Django, FLutter",Published Research Paper,No,Avishkar VIIT
22215725,Courtney Mcguire,AI ML,2,Passionate Motivated Motivated Motivated Problem solver,"Gaming, Machine Learning, AI, Robotics","HTML, Web Dev, Python, JavaScript, SQL",Interned at XYZ,No,GDSC
22219127,Sara Burnett,AI ML,4,Innovative Motivated Problem solver Passionate Passionate,"Deep Learning, Music, Sports, Robotics","React, SQL, CSS, Keras, Django",Completed AI Project,Yes,I2IC
22218916,Casey Ward,Computer Science,4,Hardworking Passionate Analytical Analytical Problem solver,"Machine Learning, Blockchain, Music, Web Development","SQL, TensorFlow, Java, Flask, Django",Built Startup Prototype,No,Cisco VIIT
22212100,Kelly Barajas,AI ML,3,Passionate Hardworking Creative Creative Creative,"Art, AI","Java, TensorFlow, Python, Django, App Dev",Completed AI Project,No,I2IC
22215555,Francisco Wilson,AI ML,2,Passionate Innovative Problem solver Analytical Problem solver,"Music, Gaming, AI, Machine Learning","Python, Flask, CSS, App Dev, Django",Won Hackathon,No,I2IC
22216294,Tyler Kelly,Civil,2,Hardworking Innovative Passionate Passionate Passionate,"Gaming, Deep Learning, Music","Keras, Flask, React, TensorFlow, HTML",Built Startup Prototype,No,GDSC
22217209,William Butler,AI ML,1,Innovative Motivated Creative Analytical Passionate,"Machine Learning, Robotics, Art, AI","App Dev, Flask, TensorFlow, Java, Python",Published Research Paper,No,CyberCELL
22219059,James Rodriguez,IT,3,Problem solver Passionate Motivated Analytical Innovative,"AI, Music, Robotics","Python, TensorFlow, Django, Java, App Dev",Published Research Paper,No,GDSC
22216714,Alexis Thornton,Mechanical,1,Problem solver Passionate Motivated Team player Innovative,"AI, Blockchain","App Dev, Python, JavaScript, Web Dev, Kotlin",Won Hackathon,No,Robotics
22211863,Amy Williams,Civil,2,Innovative Innovative Hardworking Hardworking Innovative,"Deep Learning, Gaming, Machine Learning","Kotlin, Django, Keras, Flask, FLutter",Won Hackathon,Yes,GDSC
22212682,John Molina,AI ML,1,Hardworking Creative Motivated Team player Motivated,"Gaming, Robotics, Sports","Keras, Python, SQL, Flask, Kotlin",Built Startup Prototype,No,GDSC
22216227,Ariel Hernandez,Computer Science,3,Passionate Motivated Innovative Creative Passionate,"Web Development, Music","Python, JavaScript, CSS, C++, FLutter",Won Hackathon,No,Hackathon VIIT
22212072,Darrell Perez,AI ML,4,Creative Team player Motivated Problem solver Hardworking,"Gaming, AI, Machine Learning, Blockchain","C++, Keras, SQL, Java, Python",Interned at XYZ,No,GDSC
22218886,Karen Huber,AI DS,2,Motivated Creative Innovative Motivated Analytical,"Music, Art","App Dev, Keras, Python, Web Dev, Flask",Won Hackathon,Yes,EDC
22217373,Ralph Ruiz,Computer Science,3,Creative Innovative Problem solver Analytical Team player,"Gaming, Robotics, Art, Music","Web Dev, C++, Kotlin, App Dev, HTML",Completed AI Project,No,Hackathon VIIT
22211489,Angela Meza,AI ML,4,Team player Motivated Innovative Motivated Team player,"Blockchain, Music","HTML, FLutter, C++, Python, App Dev",Published Research Paper,Yes,CyberCELL
22215386,Jane Vaughn,Electronics,1,Motivated Analytical Passionate Innovative Passionate,"Web Development, Sports, Music, Deep Learning","Python, Java, SQL, React, App Dev",Interned at XYZ,Yes,Hackathon VIIT
22214226,Jeffrey Skinner,IT,2,Team player Innovative Team player Analytical Team player,"Art, AI, Web Development","HTML, Django, Web Dev, Java, Keras",Interned at XYZ,Yes,EDC
22219139,William Bullock,CSE AI,2,Creative Team player Analytical Problem solver Motivated,"Art, Blockchain, Gaming, Robotics","Python, React, FLutter, SQL, Django",Built Startup Prototype,No,Robotics
22219434,Jennifer Adams,AI DS,4,Team player Analytical Hardworking Innovative Team player,"Gaming, Music","SQL, Web Dev, Kotlin, Django, Python",Won Hackathon,No,GDSC
22216704,Angela Adams,CSE AI,1,Creative Team player Creative Analytical Passionate,"Machine Learning, Deep Learning","Flask, SQL, FLutter, JavaScript, Keras",Built Startup Prototype,No,EDC
22211440,David Garcia,Civil,2,Passionate Innovative Innovative Hardworking Team player,"Machine Learning, Sports, Art","Kotlin, Flask, JavaScript, CSS, Keras",Completed AI Project,Yes,CyberCELL
22211746,Cory Carter,AI DS,4,Hardworking Problem solver Innovative Creative Team player,"Art, Music, Gaming, Robotics","C++, TensorFlow, Django, Java, Web Dev",Built Startup Prototype,No,Researchers and Innovators
22216318,Daniel Wood,Electronics,3,Motivated Passionate Innovative Innovative Motivated,"Gaming, Deep Learning, Music, Blockchain","Python, Web Dev, CSS, FLutter, Keras",Completed AI Project,Yes,EDC
22218481,Alexander Evans,Computer Science,4,Motivated Innovative Problem solver Hardworking Passionate,"Machine Learning, Deep Learning, Art, Blockchain","HTML, SQL, C++, JavaScript, Web Dev",Won Hackathon,Yes,GDSC
22212569,Andrea Williams,IT,3,Hardworking Creative Motivated Problem solver Hardworking,"Machine Learning, Robotics, Art, AI","C++, Kotlin, CSS, JavaScript, SQL",Won Hackathon,No,Avishkar VIIT
22215433,Robert Alexander,AI ML,1,Creative Motivated Team player Problem solver Motivated,"Machine Learning, Sports","CSS, FLutter, Java, JavaScript, Django",Completed AI Project,Yes,Avishkar VIIT
22217153,Carlos Walsh,Electronics,3,Team player Passionate Innovative Team player Passionate,"Music, Deep Learning, Blockchain","React, FLutter, TensorFlow, Java, HTML",Built Startup Prototype,No,CyberCELL
22219570,Jesse Smith,Mechanical,2,Passionate Analytical Team player Problem solver Hardworking,"Sports, Robotics, Blockchain, Music","Django, Flask, TensorFlow, Keras, C++",Interned at XYZ,Yes,CyberCELL
22218524,Alexa Murphy,Civil,1,Motivated Team player Team player Team player Team player,"AI, Deep Learning, Web Development","Flask, Keras, JavaScript, FLutter, CSS",Published Research Paper,Yes,Cisco VIIT
22211807,James Rose,Electronics,2,Problem solver Innovative Team player Analytical Analytical,"Gaming, Music, Art, Robotics","TensorFlow, JavaScript, Python, Java, Keras",Won Hackathon,No,GFG
22217076,Beverly Levine,AI ML,3,Creative Passionate Motivated Innovative Motivated,"Deep Learning, Art, Machine Learning, AI","Django, Keras, TensorFlow, HTML, FLutter",Interned at XYZ,No,I2IC
22215121,Christina Waters,Mechanical,3,Passionate Creative Passionate Motivated Team player,"Sports, Art","Python, CSS, C++, Java, HTML",Published Research Paper,Yes,GDSC
22219063,Brian Bowman,Mechanical,1,Creative Creative Creative Innovative Hardworking,"Web Development, Blockchain","Django, SQL, Keras, Java, App Dev",Published Research Paper,No,Robotics
22216040,Becky Chavez,AI DS,1,Team player Motivated Innovative Passionate Innovative,"Deep Learning, Machine Learning, Web Development","Python, Java, Flask, FLutter, Web Dev",Built Startup Prototype,No,EDC
22212831,Alejandro Watson,CSE AI,2,Innovative Analytical Team player Hardworking Hardworking,"AI, Robotics","Kotlin, Keras, React, JavaScript, FLutter",Won Hackathon,Yes,GFG
22211995,Joel George,Electronics,3,Innovative Passionate Hardworking Innovative Problem solver,"Art, Sports, Web Development","Keras, Kotlin, Java, React, Django",Built Startup Prototype,No,Cisco VIIT
22218619,Mr. Paul Ortega,Computer Science,4,Problem solver Creative Hardworking Problem solver Passionate,"Art, Robotics, Sports, Machine Learning","TensorFlow, Kotlin, Django, SQL, Python",Interned at XYZ,No,Cisco VIIT
22219714,Jessica Jenkins,Computer Science,1,Innovative Team player Motivated Motivated Creative,"Deep Learning, AI, Machine Learning","App Dev, JavaScript, FLutter, Django, Web Dev",Built Startup Prototype,Yes,Avishkar VIIT
22211289,Charles Carroll,AI DS,4,Team player Motivated Analytical Creative Innovative,"Machine Learning, Sports, Deep Learning","FLutter, CSS, HTML, TensorFlow, Keras",Built Startup Prototype,No,GDSC
